# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
    14.89%  swapper          [kernel.kallsyms]            [k] intel_idle
     7.68%  iperf3           [kernel.kallsyms]            [k] copy_user_enhanced_fast_string
     7.06%  iperf3           [kernel.kallsyms]            [k] memcpy_erms
     2.16%  iperf3           [kernel.kallsyms]            [k] get_page_from_freelist
     2.12%  iperf3           [kernel.kallsyms]            [k] skb_segment
     2.04%  iperf3           [kernel.kallsyms]            [k] veth_poll
     1.82%  iperf3           [kernel.kallsyms]            [k] ip6t_do_table
     1.66%  iperf3           [kernel.kallsyms]            [k] __build_skb
     1.64%  iperf3           [kernel.kallsyms]            [k] kmem_cache_free
     1.58%  iperf3           [kernel.kallsyms]            [k] kmem_cache_alloc
     1.52%  iperf3           [kernel.kallsyms]            [k] tcp_wfree
     1.42%  iperf3           [kernel.kallsyms]            [k] nmi
     1.41%  iperf3           [kernel.kallsyms]            [k] nf_conntrack_tcp_packet
     1.28%  iperf3           [kernel.kallsyms]            [k] dev_gro_receive
     1.11%  iperf3           [kernel.kallsyms]            [k] __free_one_page
     0.99%  iperf3           [kernel.kallsyms]            [k] skb_release_data
     0.95%  iperf3           [kernel.kallsyms]            [k] skb_copy_bits
     0.81%  iperf3           [kernel.kallsyms]            [k] __copy_skb_header
     0.79%  iperf3           [kernel.kallsyms]            [k] __check_object_size
     0.73%  iperf3           [kernel.kallsyms]            [k] build_skb
     0.68%  iperf3           [kernel.kallsyms]            [k] __alloc_skb
     0.68%  iperf3           [kernel.kallsyms]            [k] __list_del_entry_valid
     0.67%  iperf3           [kernel.kallsyms]            [k] veth_xmit
     0.66%  iperf3           [kernel.kallsyms]            [k] page_frag_free
     0.64%  iperf3           [kernel.kallsyms]            [k] bad_range
     0.63%  iperf3           [kernel.kallsyms]            [k] tcp_gro_receive
     0.61%  iperf3           [kernel.kallsyms]            [k] do_syscall_64
     0.60%  iperf3           [kernel.kallsyms]            [k] inet_recvmsg
     0.59%  iperf3           [kernel.kallsyms]            [k] kmem_cache_alloc_node
     0.57%  iperf3           [kernel.kallsyms]            [k] __skb_datagram_iter
     0.55%  iperf3           [kernel.kallsyms]            [k] __fsnotify_parent
     0.54%  iperf3           [kernel.kallsyms]            [k] ipv6_gro_receive
     0.53%  iperf3           [kernel.kallsyms]            [k] __slab_free
     0.51%  iperf3           [kernel.kallsyms]            [k] free_pcppages_bulk
     0.51%  iperf3           [kernel.kallsyms]            [k] __kmalloc_node_track_caller
     0.50%  iperf3           [kernel.kallsyms]            [k] ___slab_alloc
     0.47%  iperf3           [kernel.kallsyms]            [k] __alloc_pages_nodemask
     0.44%  iperf3           [kernel.kallsyms]            [k] ksize
     0.41%  iperf3           [kernel.kallsyms]            [k] _copy_to_iter
     0.41%  iperf3           [kernel.kallsyms]            [k] tcp_gso_segment
     0.39%  iperf3           [kernel.kallsyms]            [k] tcp_sendmsg_locked
     0.38%  iperf3           libc-2.29.so                 [.] read
     0.38%  iperf3           [kernel.kallsyms]            [k] eth_type_trans
     0.36%  iperf3           [kernel.kallsyms]            [k] psi_task_change
     0.35%  iperf3           [kernel.kallsyms]            [k] ipv6_gso_pull_exthdrs
     0.33%  iperf3           [kernel.kallsyms]            [k] skb_gro_receive
     0.32%  iperf3           [kernel.kallsyms]            [k] __tcp_send_ack.part.0
     0.32%  iperf3           [kernel.kallsyms]            [k] sched_clock
     0.30%  iperf3           [kernel.kallsyms]            [k] tcp_poll
     0.30%  iperf3           [kernel.kallsyms]            [k] __cgroup_bpf_run_filter_skb
     0.30%  iperf3           [kernel.kallsyms]            [k] tcp_recvmsg
     0.29%  iperf3           [kernel.kallsyms]            [k] fib6_node_lookup_1
     0.29%  iperf3           [kernel.kallsyms]            [k] free_unref_page
     0.28%  iperf3           [kernel.kallsyms]            [k] __virt_addr_valid
     0.28%  iperf3           [kernel.kallsyms]            [k] tcp_small_queue_check.isra.0
     0.28%  iperf3           [kernel.kallsyms]            [k] tcp_parse_md5sig_option
     0.28%  iperf3           [kernel.kallsyms]            [k] __dev_queue_xmit
     0.28%  iperf3           [kernel.kallsyms]            [k] __tcp_transmit_skb
     0.27%  iperf3           [kernel.kallsyms]            [k] nf_ct_get_tuple
     0.26%  iperf3           [kernel.kallsyms]            [k] osl_readw
     0.26%  iperf3           [kernel.kallsyms]            [k] __kmalloc_reserve.isra.0
     0.26%  iperf3           [kernel.kallsyms]            [k] ksys_read
     0.26%  iperf3           [kernel.kallsyms]            [k] kfree
     0.25%  iperf3           [kernel.kallsyms]            [k] __x86_indirect_thunk_rax
     0.25%  swapper          [kernel.kallsyms]            [k] menu_select
     0.25%  iperf3           [kernel.kallsyms]            [k] dev_hard_start_xmit
     0.25%  iperf3           [kernel.kallsyms]            [k] syscall_return_via_sysret
     0.25%  iperf3           [kernel.kallsyms]            [k] ip6_finish_output2
     0.24%  iperf3           [kernel.kallsyms]            [k] ip6_dst_check
     0.24%  iperf3           [kernel.kallsyms]            [k] ip6_xmit
     0.24%  iperf3           [kernel.kallsyms]            [k] update_load_avg
     0.24%  iperf3           [kernel.kallsyms]            [k] net_rx_action
     0.23%  iperf3           [kernel.kallsyms]            [k] file_has_perm
     0.22%  iperf3           [kernel.kallsyms]            [k] __dev_forward_skb
     0.22%  iperf3           [kernel.kallsyms]            [k] sk_filter_trim_cap
     0.22%  iperf3           [kernel.kallsyms]            [k] skb_mac_gso_segment
     0.22%  iperf3           [kernel.kallsyms]            [k] __inet6_lookup_established
     0.21%  iperf3           [kernel.kallsyms]            [k] netlbl_enabled
     0.21%  iperf3           [kernel.kallsyms]            [k] tcp_add_backlog
     0.21%  iperf3           [kernel.kallsyms]            [k] skb_scrub_packet
     0.20%  iperf3           [kernel.kallsyms]            [k] tcp_v6_rcv
     0.20%  iperf3           [kernel.kallsyms]            [k] avc_has_perm
     0.19%  iperf3           [kernel.kallsyms]            [k] policy_node
     0.19%  iperf3           [kernel.kallsyms]            [k] mem_cgroup_uncharge
     0.19%  iperf3           [kernel.kallsyms]            [k] do_select
     0.19%  iperf3           [kernel.kallsyms]            [k] tcp_ack
     0.18%  iperf3           [kernel.kallsyms]            [k] ipv6_gso_segment
     0.18%  iperf3           [kernel.kallsyms]            [k] entry_SYSCALL_64
     0.18%  iperf3           [kernel.kallsyms]            [k] napi_gro_receive
     0.18%  iperf3           [kernel.kallsyms]            [k] __build_skb_around
     0.17%  iperf3           [kernel.kallsyms]            [k] __netif_receive_skb_core
