# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
    11.21%  swapper          [kernel.kallsyms]                        [k] intel_idle
     4.96%  iperf3           [kernel.kallsyms]                        [k] copy_user_enhanced_fast_string
     3.09%  ksoftirqd/3      [kernel.kallsyms]                        [k] memcpy_erms
     2.70%  iperf3           [kernel.kallsyms]                        [k] ip6t_do_table
     2.59%  iperf3           [kernel.kallsyms]                        [k] memcpy_erms
     1.92%  ksoftirqd/3      [kernel.kallsyms]                        [k] skb_headers_offset_update
     1.50%  iperf3           [kernel.kallsyms]                        [k] __nf_conntrack_find_get
     1.39%  ksoftirqd/0      [kernel.kallsyms]                        [k] memcpy_erms
     1.33%  iperf3           [kernel.kallsyms]                        [k] queued_spin_lock_slowpath
     1.15%  iperf3           [kernel.kallsyms]                        [k] __copy_skb_header
     1.08%  ksoftirqd/2      [kernel.kallsyms]                        [k] memcpy_erms
     1.00%  iperf3           [kernel.kallsyms]                        [k] skb_segment
     0.98%  iperf3           [kernel.kallsyms]                        [k] __x64_sys_read
     0.86%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_rcv
     0.80%  iperf3           [kernel.kallsyms]                        [k] __netif_receive_skb_core
     0.78%  iperf3           [kernel.kallsyms]                        [k] nmi
     0.74%  iperf3           [kernel.kallsyms]                        [k] kmem_cache_alloc_node
     0.67%  iperf3           [kernel.kallsyms]                        [k] get_page_from_freelist
     0.65%  iperf3           [kernel.kallsyms]                        [k] get_l4proto
     0.65%  iperf3           [kernel.kallsyms]                        [k] __cgroup_bpf_run_filter_skb
     0.65%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_early_demux
     0.64%  iperf3           [kernel.kallsyms]                        [k] ip6_protocol_deliver_rcu
     0.63%  iperf3           [kernel.kallsyms]                        [k] do_syscall_64
