# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 179
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 25325405346
#
# Overhead  Command          Shared Object                           Symbol                                                      
# ........  ...............  ......................................  ............................................................
#
    27.94%  iperf3           [kernel.kallsyms]                       [k] copy_user_enhanced_fast_string
     6.77%  swapper          [kernel.kallsyms]                       [k] intel_idle
     3.35%  iperf3           [kernel.kallsyms]                       [k] ip6t_do_table
     1.57%  iperf3           [kernel.kallsyms]                       [k] do_select
     1.29%  iperf3           [kernel.kallsyms]                       [k] do_syscall_64
     1.27%  iperf3           [kernel.kallsyms]                       [k] nf_conntrack_tcp_packet
     1.23%  iperf3           [kernel.kallsyms]                       [k] nf_hook_slow
     0.99%  iperf3           [kernel.kallsyms]                       [k] tcp_sendmsg_locked
     0.87%  iperf3           [kernel.kallsyms]                       [k] net_rx_action
     0.78%  iperf3           [kernel.kallsyms]                       [k] get_page_from_freelist
     0.73%  iperf3           [kernel.kallsyms]                       [k] kmem_cache_alloc
     0.73%  iperf3           [kernel.kallsyms]                       [k] nmi
     0.68%  iperf3           [kernel.kallsyms]                       [k] ip6_xmit
     0.64%  iperf3           [kernel.kallsyms]                       [k] skb_copy_bits
     0.63%  iperf3           [kernel.kallsyms]                       [k] ip6_dst_check
     0.63%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_rcv
     0.63%  iperf3           [kernel.kallsyms]                       [k] __free_pages_ok
     0.60%  iperf3           [kernel.kallsyms]                       [k] kmem_cache_alloc_node
     0.58%  iperf3           [kernel.kallsyms]                       [k] irqtime_account_irq
     0.57%  iperf3           [kernel.kallsyms]                       [k] ip6_rcv_core.isra.0
     0.52%  iperf3           [kernel.kallsyms]                       [k] __cgroup_bpf_run_filter_skb
     0.50%  iperf3           [kernel.kallsyms]                       [k] tcp_add_backlog
     0.50%  iperf3           [kernel.kallsyms]                       [k] tcp_write_xmit
     0.49%  iperf3           [kernel.kallsyms]                       [k] queued_spin_lock_slowpath
     0.49%  iperf3           [kernel.kallsyms]                       [k] skb_release_data
     0.48%  iperf3           [kernel.kallsyms]                       [k] avc_has_perm
     0.48%  iperf3           [kernel.kallsyms]                       [k] syscall_return_via_sysret
     0.48%  iperf3           [kernel.kallsyms]                       [k] ip6table_raw_hook
     0.47%  iperf3           [kernel.kallsyms]                       [k] tcp_ack
     0.46%  iperf3           [kernel.kallsyms]                       [k] __tcp_transmit_skb
     0.42%  iperf3           [kernel.kallsyms]                       [k] __check_object_size
     0.40%  iperf3           [kernel.kallsyms]                       [k] inet6_csk_xmit
     0.40%  iperf3           [kernel.kallsyms]                       [k] __dev_queue_xmit
     0.40%  iperf3           [kernel.kallsyms]                       [k] entry_SYSCALL_64
     0.39%  iperf3           [kernel.kallsyms]                       [k] veth_xmit
     0.39%  iperf3           [kernel.kallsyms]                       [k] __virt_addr_valid
     0.37%  iperf3           [kernel.kallsyms]                       [k] fib6_node_lookup_1
     0.37%  iperf3           [kernel.kallsyms]                       [k] nf_conntrack_in
     0.35%  iperf3           [kernel.kallsyms]                       [k] ip6_finish_output2
     0.35%  iperf3           [kernel.kallsyms]                       [k] __nf_conntrack_find_get
     0.34%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_send_check
     0.34%  iperf3           [kernel.kallsyms]                       [k] iov_iter_init
     0.33%  iperf3           [kernel.kallsyms]                       [k] process_backlog
     0.32%  iperf3           [kernel.kallsyms]                       [k] __fget_light
     0.32%  iperf3           [kernel.kallsyms]                       [k] nf_ct_seq_offset
     0.32%  iperf3           [kernel.kallsyms]                       [k] tcp_recvmsg
     0.31%  iperf3           [kernel.kallsyms]                       [k] ip6_mtu
     0.31%  iperf3           [kernel.kallsyms]                       [k] ksize
     0.31%  iperf3           [kernel.kallsyms]                       [k] __alloc_skb
     0.31%  iperf3           [kernel.kallsyms]                       [k] __netif_receive_skb_core
     0.31%  iperf3           [kernel.kallsyms]                       [k] entry_SYSCALL_64_after_hwframe
     0.30%  iperf3           [kernel.kallsyms]                       [k] __x86_indirect_thunk_rax
     0.30%  iperf3           [kernel.kallsyms]                       [k] selinux_file_permission
     0.29%  iperf3           [kernel.kallsyms]                       [k] ipv6_defrag
     0.28%  iperf3           [kernel.kallsyms]                       [k] __kmalloc_node_track_caller
     0.28%  iperf3           [kernel.kallsyms]                       [k] __release_sock
     0.28%  iperf3           [kernel.kallsyms]                       [k] native_sched_clock
     0.27%  iperf3           [kernel.kallsyms]                       [k] __inet6_lookup_established
     0.26%  iperf3           [kernel.kallsyms]                       [k] tcp_poll
     0.25%  iperf3           [kernel.kallsyms]                       [k] __local_bh_enable_ip
     0.24%  iperf3           [kernel.kallsyms]                       [k] ip6_pol_route_lookup
     0.24%  iperf3           [kernel.kallsyms]                       [k] tcp_rcv_established
     0.24%  iperf3           [kernel.kallsyms]                       [k] __softirqentry_text_start
     0.24%  iperf3           [kernel.kallsyms]                       [k] _raw_spin_lock_irqsave
     0.24%  iperf3           [kernel.kallsyms]                       [k] __skb_datagram_iter
     0.24%  iperf3           [kernel.kallsyms]                       [k] security_file_permission
     0.24%  iperf3           [kernel.kallsyms]                       [k] __sk_dst_check
     0.23%  iperf3           [kernel.kallsyms]                       [k] csum_ipv6_magic
     0.23%  iperf3           [kernel.kallsyms]                       [k] vfs_read
     0.23%  iperf3           [kernel.kallsyms]                       [k] nf_nat_ipv6_local_fn
     0.23%  iperf3           [kernel.kallsyms]                       [k] mod_timer
     0.22%  iperf3           [kernel.kallsyms]                       [k] __kfree_skb_flush
     0.22%  iperf3           [kernel.kallsyms]                       [k] inet6_csk_route_socket
     0.22%  iperf3           [kernel.kallsyms]                       [k] should_failslab
     0.22%  iperf3           [kernel.kallsyms]                       [k] psi_task_change
     0.22%  iperf3           [kernel.kallsyms]                       [k] ip6_protocol_deliver_rcu
     0.22%  iperf3           [kernel.kallsyms]                       [k] nf_ct_get_tuple
     0.22%  iperf3           [kernel.kallsyms]                       [k] ___slab_alloc
     0.21%  iperf3           [kernel.kallsyms]                       [k] kfree
     0.20%  iperf3           [kernel.kallsyms]                       [k] netif_skb_features
     0.20%  iperf3           [kernel.kallsyms]                       [k] memcg_kmem_put_cache
     0.20%  iperf3           [kernel.kallsyms]                       [k] __list_add_valid
     0.20%  iperf3           [kernel.kallsyms]                       [k] tcp_event_data_recv
     0.19%  iperf3           [kernel.kallsyms]                       [k] rcu_all_qs
     0.19%  iperf3           [kernel.kallsyms]                       [k] sched_clock
     0.19%  iperf3           [kernel.kallsyms]                       [k] _copy_to_iter
     0.19%  iperf3           [kernel.kallsyms]                       [k] ip6_output
     0.18%  iperf3           [kernel.kallsyms]                       [k] validate_xmit_skb
     0.18%  iperf3           [kernel.kallsyms]                       [k] hash_conntrack_raw
     0.18%  iperf3           [kernel.kallsyms]                       [k] rpfilter_mt
     0.18%  iperf3           [kernel.kallsyms]                       [k] read_tsc
     0.18%  iperf3           libiperf.so.0.0.0                       [.] iperf_send
     0.18%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_early_demux
     0.18%  iperf3           [kernel.kallsyms]                       [k] __free_one_page
     0.18%  iperf3           [kernel.kallsyms]                       [k] sock_has_perm
     0.18%  iperf3           [kernel.kallsyms]                       [k] selinux_ip_postroute
     0.18%  iperf3           [kernel.kallsyms]                       [k] nf_nat_packet
     0.17%  iperf3           [kernel.kallsyms]                       [k] selinux_socket_sock_rcv_skb
     0.17%  iperf3           [kernel.kallsyms]                       [k] skb_clone
     0.17%  iperf3           [kernel.kallsyms]                       [k] sk_filter_trim_cap
     0.17%  iperf3           [kernel.kallsyms]                       [k] tcp_queue_rcv
     0.16%  iperf3           [kernel.kallsyms]                       [k] selinux_peerlbl_enabled
     0.16%  iperf3           [kernel.kallsyms]                       [k] skb_try_coalesce
     0.16%  swapper          [kernel.kallsyms]                       [k] update_load_avg
     0.16%  iperf3           [kernel.kallsyms]                       [k] _raw_spin_lock_bh
     0.16%  iperf3           [kernel.kallsyms]                       [k] nf_ct_frag6_gather
     0.16%  iperf3           [kernel.kallsyms]                       [k] skb_scrub_packet
     0.16%  iperf3           [kernel.kallsyms]                       [k] sock_poll
     0.15%  iperf3           [kernel.kallsyms]                       [k] ip6table_mangle_hook
     0.15%  iperf3           [kernel.kallsyms]                       [k] enqueue_to_backlog
     0.15%  iperf3           [kernel.kallsyms]                       [k] dev_hard_start_xmit
     0.15%  iperf3           [kernel.kallsyms]                       [k] __alloc_pages_nodemask
     0.15%  iperf3           [kernel.kallsyms]                       [k] __usecs_to_jiffies
     0.14%  iperf3           [kernel.kallsyms]                       [k] memset_erms
     0.14%  iperf3           [kernel.kallsyms]                       [k] __slab_alloc
     0.14%  ksoftirqd/2      [kernel.kallsyms]                       [k] rt6_uncached_list_del
     0.14%  iperf3           [kernel.kallsyms]                       [k] __list_del_entry_valid
     0.14%  iperf3           [kernel.kallsyms]                       [k] nf_nat_inet_fn
     0.14%  iperf3           [kernel.kallsyms]                       [k] do_softirq_own_stack
     0.14%  iperf3           [kernel.kallsyms]                       [k] __ipv6_addr_type
     0.14%  iperf3           [kernel.kallsyms]                       [k] ip6table_filter_hook
     0.13%  iperf3           [kernel.kallsyms]                       [k] __inode_security_revalidate
     0.13%  iperf3           [kernel.kallsyms]                       [k] security_sk_classify_flow
     0.13%  iperf3           [kernel.kallsyms]                       [k] iov_iter_advance
     0.13%  iperf3           [kernel.kallsyms]                       [k] ipv6_rcv
     0.13%  iperf3           [kernel.kallsyms]                       [k] tcp_rearm_rto
     0.13%  iperf3           [kernel.kallsyms]                       [k] rb_insert_color
     0.13%  iperf3           [kernel.kallsyms]                       [k] __dev_forward_skb
     0.13%  iperf3           [kernel.kallsyms]                       [k] _raw_spin_unlock_irqrestore
     0.13%  iperf3           [kernel.kallsyms]                       [k] ipv6_skip_exthdr
     0.13%  iperf3           [kernel.kallsyms]                       [k] kmem_cache_free
     0.13%  iperf3           [kernel.kallsyms]                       [k] ip6_dst_hoplimit
     0.13%  iperf3           [kernel.kallsyms]                       [k] __tcp_select_window
     0.12%  iperf3           [kernel.kallsyms]                       [k] inet6_ehashfn
     0.12%  iperf3           [kernel.kallsyms]                       [k] fsnotify
     0.12%  xfwm4            libgdk-3.so.0.2404.6                    [.] 0x0000000000067c1f
     0.12%  iperf3           [kernel.kallsyms]                       [k] raw6_local_deliver
     0.12%  iperf3           [kernel.kallsyms]                       [k] try_to_wake_up
     0.12%  iperf3           [kernel.kallsyms]                       [k] ip6_input
     0.12%  iperf3           [kernel.kallsyms]                       [k] sched_clock_cpu
     0.12%  swapper          [kernel.kallsyms]                       [k] raise_softirq
     0.12%  iperf3           [kernel.kallsyms]                       [k] skb_clone_tx_timestamp
     0.12%  iperf3           [kernel.kallsyms]                       [k] skb_page_frag_refill
     0.12%  iperf3           [kernel.kallsyms]                       [k] ip6_dst_alloc
     0.12%  iperf3           [kernel.kallsyms]                       [k] ip6_finish_output
     0.12%  iperf3           [kernel.kallsyms]                       [k] new_sync_write
     0.12%  iperf3           [kernel.kallsyms]                       [k] eth_type_trans
     0.11%  iperf3           [kernel.kallsyms]                       [k] nf_nat_ipv6_fn
     0.11%  iperf3           [kernel.kallsyms]                       [k] bad_range
     0.11%  iperf3           [kernel.kallsyms]                       [k] ktime_get
     0.11%  iperf3           [kernel.kallsyms]                       [k] tcp_validate_incoming
     0.11%  iperf3           [kernel.kallsyms]                       [k] osl_readw
     0.11%  iperf3           [kernel.kallsyms]                       [k] tcp_wfree
     0.11%  iperf3           [kernel.kallsyms]                       [k] netif_rx
     0.11%  iperf3           [kernel.kallsyms]                       [k] validate_xmit_xfrm
     0.11%  iperf3           [kernel.kallsyms]                       [k] nf_nat_ipv6_in
     0.11%  iperf3           [kernel.kallsyms]                       [k] ksoftirqd_running
     0.11%  iperf3           [kernel.kallsyms]                       [k] nf_ct_deliver_cached_events
     0.10%  iperf3           [kernel.kallsyms]                       [k] sock_put
     0.10%  iperf3           [kernel.kallsyms]                       [k] get_l4proto
     0.10%  iperf3           [kernel.kallsyms]                       [k] __fsnotify_parent
     0.10%  iperf3           libiperf.so.0.0.0                       [.] iperf_tcp_send
     0.10%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_inbound_md5_hash
     0.10%  iperf3           [kernel.kallsyms]                       [k] tcp_rbtree_insert
     0.10%  iperf3           [kernel.kallsyms]                       [k] rb_erase
     0.10%  iperf3           [kernel.kallsyms]                       [k] is_skb_forwardable
     0.10%  iperf3           [kernel.kallsyms]                       [k] _copy_from_iter_full
     0.10%  iperf3           libc-2.29.so                            [.] read
     0.09%  iperf3           [kernel.kallsyms]                       [k] tcp_established_options
     0.09%  Xorg             i965_dri.so                             [.] 0x00000000000cae4e
     0.09%  iperf3           [kernel.kallsyms]                       [k] kmalloc_slab
     0.09%  iperf3           [kernel.kallsyms]                       [k] sock_rfree
     0.09%  iperf3           [kernel.kallsyms]                       [k] tcp_rate_skb_sent
     0.09%  iperf3           [kernel.kallsyms]                       [k] _raw_spin_lock
     0.09%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_do_rcv
     0.09%  iperf3           [vdso]                                  [.] 0x00000000000005ee
     0.09%  iperf3           [kernel.kallsyms]                       [k] selinux_sk_getsecid
     0.09%  iperf3           [kernel.kallsyms]                       [k] __skb_clone
     0.09%  iperf3           [kernel.kallsyms]                       [k] reweight_entity
     0.09%  iperf3           [kernel.kallsyms]                       [k] detach_if_pending
     0.09%  iperf3           libiperf.so.0.0.0                       [.] iperf_run_server
     0.09%  iperf3           [kernel.kallsyms]                       [k] tcp_rack_update_reo_wnd
     0.09%  iperf3           [kernel.kallsyms]                       [k] sock_read_iter
     0.08%  iperf3           [kernel.kallsyms]                       [k] __zone_watermark_ok
     0.08%  iperf3           [kernel.kallsyms]                       [k] kfree_skbmem
     0.08%  iperf3           [kernel.kallsyms]                       [k] tcp_release_cb
     0.08%  swapper          [kernel.kallsyms]                       [k] poll_idle
     0.08%  iperf3           [kernel.kallsyms]                       [k] __fdget_pos
     0.08%  iperf3           [kernel.kallsyms]                       [k] ipv6_confirm
     0.08%  iperf3           [kernel.kallsyms]                       [k] __netif_receive_skb_one_core
     0.08%  iperf3           [kernel.kallsyms]                       [k] __slab_free
     0.08%  iperf3           libiperf.so.0.0.0                       [.] Nread
     0.08%  iperf3           [kernel.kallsyms]                       [k] tcp_schedule_loss_probe
     0.08%  iperf3           [kernel.kallsyms]                       [k] update_curr
     0.08%  iperf3           [kernel.kallsyms]                       [k] tcp_stream_memory_free
     0.08%  iperf3           [kernel.kallsyms]                       [k] tcp_v6_fill_cb
     0.08%  iperf3           [kernel.kallsyms]                       [k] intel_pstate_update_util
     0.08%  swapper          [kernel.kallsyms]                       [k] menu_select
     0.08%  iperf3           [kernel.kallsyms]                       [k] ipv6_conntrack_local
     0.08%  iperf3           [kernel.kallsyms]                       [k] __pollwait
     0.08%  iperf3           [kernel.kallsyms]                       [k] prep_new_page
     0.08%  iperf3           libiperf.so.0.0.0                       [.] iperf_tcp_recv
     0.07%  iperf3           [kernel.kallsyms]                       [k] selinux_ipv6_output
     0.07%  iperf3           [kernel.kallsyms]                       [k] netlbl_enabled
     0.07%  swapper          [kernel.kallsyms]                       [k] find_next_bit
     0.07%  iperf3           [kernel.kallsyms]                       [k] file_has_perm
     0.07%  iperf3           [kernel.kallsyms]                       [k] policy_node
     0.07%  iperf3           [kernel.kallsyms]                       [k] __mod_zone_page_state
     0.07%  iperf3           [kernel.kallsyms]                       [k] sk_stream_alloc_skb
     0.07%  iperf3           [kernel.kallsyms]                       [k] conntrack_mt
     0.07%  iperf3           [kernel.kallsyms]                       [k] core_sys_select
     0.07%  iperf3           [kernel.kallsyms]                       [k] tcp_filter
     0.07%  iperf3           [kernel.kallsyms]                       [k] vfs_write
     0.07%  iperf3           [kernel.kallsyms]                       [k] tcp_cleanup_rbuf
     0.07%  iperf3           [kernel.kallsyms]                       [k] netif_rx_internal
     0.07%  swapper          [kernel.kallsyms]                       [k] __sched_text_start
     0.07%  iperf3           [kernel.kallsyms]                       [k] ip6_autoflowlabel.part.0
     0.07%  iperf3           [kernel.kallsyms]                       [k] tcp_parse_md5sig_option
     0.07%  iperf3           [kernel.kallsyms]                       [k] ksys_read
     0.07%  iperf3           [kernel.kallsyms]                       [k] new_slab
     0.07%  iperf3           [kernel.kallsyms]                       [k] copyin
     0.07%  iperf3           [kernel.kallsyms]                       [k] lock_timer_base
     0.06%  iperf3           [kernel.kallsyms]                       [k] get_nohz_timer_target
     0.06%  iperf3           [kernel.kallsyms]                       [k] tcp_urg
     0.06%  iperf3           [kernel.kallsyms]                       [k] put_cpu_partial
     0.06%  iperf3           libiperf.so.0.0.0                       [.] iperf_recv
     0.06%  iperf3           [kernel.kallsyms]                       [k] copy_user_generic_unrolled
     0.06%  iperf3           [kernel.kallsyms]                       [k] memcpy
     0.06%  iperf3           [kernel.kallsyms]                       [k] osl_readl
     0.06%  iperf3           [kernel.kallsyms]                       [k] update_load_avg
     0.06%  iperf3           [kernel.kallsyms]                       [k] __kfree_skb
     0.06%  iperf3           [kernel.kallsyms]                       [k] netdev_core_pick_tx
     0.06%  iperf3           [kernel.kallsyms]                       [k] new_sync_read
     0.06%  iperf3           [kernel.kallsyms]                       [k] __call_rcu
     0.06%  iperf3           [kernel.kallsyms]                       [k] sk_page_frag_refill
     0.06%  iperf3           [kernel.kallsyms]                       [k] update_irq_load_avg
     0.06%  iperf3           [kernel.kallsyms]                       [k] __kmalloc_reserve.isra.0
     0.06%  iperf3           [kernel.kallsyms]                       [k] tcp_data_queue
     0.06%  iperf3           [kernel.kallsyms]                       [k] skb_copy_datagram_iter
     0.06%  iperf3           [kernel.kallsyms]                       [k] percpu_counter_add_batch
     0.06%  iperf3           [kernel.kallsyms]                       [k] tcp_event_new_data_sent
     0.06%  iperf3           [kernel.kallsyms]                       [k] inode_has_perm
     0.06%  iperf3           [kernel.kallsyms]                       [k] enqueue_timer
     0.06%  iperf3           [kernel.kallsyms]                       [k] sock_def_readable
     0.06%  iperf3           [kernel.kallsyms]                       [k] add_wait_queue
     0.06%  iperf3           [kernel.kallsyms]                       [k] timerqueue_add
     0.06%  iperf3           [kernel.kallsyms]                       [k] PageHuge
     0.05%  iperf3           [kernel.kallsyms]                       [k] __hrtimer_run_queues
     0.05%  iperf3           [kernel.kallsyms]                       [k] alloc_pages_current
     0.05%  iperf3           [kernel.kallsyms]                       [k] do_softirq.part.0
     0.05%  iperf3           [kernel.kallsyms]                       [k] account_entity_dequeue
     0.05%  swapper          [kernel.kallsyms]                       [k] do_idle
     0.05%  iperf3           libiperf.so.0.0.0                       [.] tmr_timeout
     0.05%  iperf3           [kernel.kallsyms]                       [k] release_sock
     0.05%  iperf3           [kernel.kallsyms]                       [k] ktime_get_seconds
     0.05%  iperf3           [kernel.kallsyms]                       [k] fib6_node_lookup
     0.05%  iperf3           [kernel.kallsyms]                       [k] sk_reset_timer
     0.05%  iperf3           [kernel.kallsyms]                       [k] skb_condense
     0.05%  iperf3           [kernel.kallsyms]                       [k] free_one_page
     0.05%  iperf3           [kernel.kallsyms]                       [k] tcp_ack_update_rtt.isra.0
     0.05%  swapper          [kernel.kallsyms]                       [k] osl_readw
     0.05%  iperf3           [kernel.kallsyms]                       [k] bictcp_acked
     0.05%  iperf3           [kernel.kallsyms]                       [k] available_idle_cpu
     0.05%  iperf3           [kernel.kallsyms]                       [k] __nf_ct_refresh_acct
     0.05%  iperf3           [kernel.kallsyms]                       [k] tcp_grow_window.isra.0
     0.05%  iperf3           [kernel.kallsyms]                       [k] __inc_numa_state
     0.05%  iperf3           [kernel.kallsyms]                       [k] memcpy_erms
     0.05%  iperf3           [kernel.kallsyms]                       [k] ktime_get_ts64
     0.05%  xfwm4            libgdk-3.so.0.2404.6                    [.] 0x0000000000067c15
     0.05%  iperf3           [kernel.kallsyms]                       [k] lock_sock_nested
     0.05%  swapper          [kernel.kallsyms]                       [k] switch_mm_irqs_off
     0.05%  iperf3           [kernel.kallsyms]                       [k] dst_init
     0.05%  iperf3           [kernel.kallsyms]                       [k] __sched_text_start
     0.05%  iperf3           [kernel.kallsyms]                       [k] dst_release
     0.05%  iperf3           [kernel.kallsyms]                       [k] skb_network_protocol
     0.05%  iperf3           [kernel.kallsyms]                       [k] tcp_options_write
     0.05%  iperf3           [kernel.kallsyms]                       [k] tcp_send_mss
     0.04%  iperf3           [kernel.kallsyms]                       [k] skb_entail
     0.04%  iperf3           [kernel.kallsyms]                       [k] tcp_rcv_space_adjust
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6table_security_hook
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6_create_rt_rcu
     0.04%  swapper          [kernel.kallsyms]                       [k] update_blocked_averages
     0.04%  iperf3           [kernel.kallsyms]                       [k] ipv6_ext_hdr
     0.04%  iperf3           [kernel.kallsyms]                       [k] tcp_current_mss
     0.04%  iperf3           [kernel.kallsyms]                       [k] simple_copy_to_iter
     0.04%  iperf3           [kernel.kallsyms]                       [k] tcp_mstamp_refresh
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6_rcv_finish_core.isra.0
     0.04%  iperf3           [kernel.kallsyms]                       [k] fib6_rule_lookup
     0.04%  iperf3           [kernel.kallsyms]                       [k] _raw_spin_unlock_bh
     0.04%  iperf3           [kernel.kallsyms]                       [k] skb_split
     0.04%  iperf3           [kernel.kallsyms]                       [k] __fib6_clean_all
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6_rt_copy_init
     0.04%  swapper          [kernel.kallsyms]                       [k] dst_destroy
     0.04%  iperf3           [kernel.kallsyms]                       [k] bictcp_cong_avoid
     0.04%  iperf3           [kernel.kallsyms]                       [k] __tcp_send_ack.part.0
     0.04%  iperf3           [kernel.kallsyms]                       [k] poll_select_copy_remaining
     0.04%  iperf3           [kernel.kallsyms]                       [k] ksys_write
     0.04%  iperf3           [kernel.kallsyms]                       [k] passthru_features_check
     0.04%  iperf3           [kernel.kallsyms]                       [k] check_stack_object
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6_dst_gc
     0.04%  iperf3           [kernel.kallsyms]                       [k] tcp_send_delayed_ack
     0.04%  iperf3           [kernel.kallsyms]                       [k] mem_cgroup_uncharge
     0.04%  iperf3           [kernel.kallsyms]                       [k] policy_nodemask
     0.04%  iperf3           [kernel.kallsyms]                       [k] calc_wheel_index
     0.04%  iperf3           libiperf.so.0.0.0                       [.] Nwrite
     0.04%  iperf3           [kernel.kallsyms]                       [k] security_socket_recvmsg
     0.04%  iperf3           [kernel.kallsyms]                       [k] tcp_update_skb_after_send
     0.04%  iperf3           [kernel.kallsyms]                       [k] __tcp_ack_snd_check
     0.04%  iperf3           [kernel.kallsyms]                       [k] ip6_rcv_finish
     0.04%  iperf3           [kernel.kallsyms]                       [k] _cond_resched
     0.04%  iperf3           [kernel.kallsyms]                       [k] __tcp_push_pending_frames
     0.04%  iperf3           [kernel.kallsyms]                       [k] dst_alloc
     0.04%  swapper          [kernel.kallsyms]                       [k] tick_check_broadcast_expired
     0.04%  swapper          [kernel.kallsyms]                       [k] cpu_load_update
     0.03%  iperf3           [kernel.kallsyms]                       [k] security_sock_rcv_skb
     0.03%  iperf3           [kernel.kallsyms]                       [k] ipv6_find_hdr
     0.03%  iperf3           [kernel.kallsyms]                       [k] prep_compound_page
     0.03%  iperf3           [kernel.kallsyms]                       [k] skb_release_head_state
     0.03%  iperf3           [kernel.kallsyms]                       [k] dst_destroy
     0.03%  iperf3           [kernel.kallsyms]                       [k] __page_cache_release
     0.03%  iperf3           libiperf.so.0.0.0                       [.] tmr_run
     0.03%  iperf3           [kernel.kallsyms]                       [k] skb_push
     0.03%  iperf3           [kernel.kallsyms]                       [k] sock_write_iter
     0.03%  iperf3           [kernel.kallsyms]                       [k] tcp_try_coalesce
     0.03%  iperf3           [kernel.kallsyms]                       [k] __x64_sys_select
     0.03%  iperf3           [kernel.kallsyms]                       [k] __copy_skb_header
     0.03%  iperf3           [kernel.kallsyms]                       [k] kern_select
     0.03%  iperf3           libc-2.29.so                            [.] __fdelt_warn
     0.03%  iperf3           [kernel.kallsyms]                       [k] __x64_sys_read
     0.03%  iperf3           [kernel.kallsyms]                       [k] skb_release_all
     0.03%  iperf3           libc-2.29.so                            [.] __select
     0.03%  iperf3           [kernel.kallsyms]                       [k] hrtimer_interrupt
     0.03%  iperf3           [kernel.kallsyms]                       [k] trigger_dyntick_cpu.isra.0
     0.03%  iperf3           [kernel.kallsyms]                       [k] free_compound_page
     0.03%  iperf3           libc-2.29.so                            [.] __GI___libc_write
     0.03%  iperf3           [kernel.kallsyms]                       [k] _copy_from_user
